date,resort,points,price_per_point,total_price
2026-01-10,Polynesian,175,$165,
2026-01-10,Polynesian,100,$163,
2026-01-10,Polynesian,125,$161,
2026-01-10,Polynesian,150,$170,
2026-01-10,Polynesian,125,$173,
2026-01-10,Polynesian,250,$152,
2026-01-10,Polynesian,250,$152,
2026-01-10,Polynesian,150,$164,
2026-01-10,Polynesian,50,$178,
2026-01-10,Polynesian,120,$159,
2026-01-10,Polynesian,135,$154,
2026-01-10,Polynesian,150,$170,
2026-01-10,Polynesian,250,$159,
2026-01-10,Polynesian,65,$174,
2026-01-10,Polynesian,65,$165,
2026-01-10,Polynesian,100,$155,
2026-01-10,Polynesian,112,$175,
2026-01-10,Polynesian,100,$176,
2026-01-10,Polynesian,75,$172,
2026-01-10,Polynesian,250,$164,
2026-01-10,RivieraResort,200,$122,
2026-01-10,RivieraResort,300,$120,
2026-01-10,RivieraResort,525,$111,
2026-01-10,RivieraResort,215,$119,
2026-01-10,RivieraResort,100,$139,
2026-01-10,RivieraResort,75,$127,
2026-01-10,RivieraResort,150,$135,
2026-01-10,RivieraResort,125,$136,
2026-01-10,RivieraResort,300,$116,
2026-01-10,RivieraResort,75,$132,
2026-01-10,RivieraResort,300,$104,
2026-01-10,RivieraResort,200,$120,
2026-01-10,RivieraResort,200,$116,
2026-01-10,RivieraResort,200,$129,
2026-01-10,RivieraResort,350,$115,
2026-01-10,RivieraResort,200,$130,
2026-01-10,SaratogaSprings,100,$102,
2026-01-10,SaratogaSprings,320,$110,
2026-01-10,SaratogaSprings,150,$100,
2026-01-10,SaratogaSprings,200,$105,
2026-01-10,SaratogaSprings,200,$110,
2026-01-10,SaratogaSprings,200,$106,
2026-01-10,SaratogaSprings,50,$120,
2026-01-10,SaratogaSprings,500,$96,
2026-01-10,SaratogaSprings,150,$115,
2026-01-10,SaratogaSprings,150,$100,
2026-01-10,SaratogaSprings,200,$107,
2026-01-10,SaratogaSprings,225,$94,
2026-01-10,SaratogaSprings,200,$103,
2026-01-10,SaratogaSprings,160,$104,
2026-01-10,SaratogaSprings,150,$104,
2026-01-10,SaratogaSprings,375,$105,
2026-01-10,SaratogaSprings,375,$105,
2026-01-10,SaratogaSprings,375,$109,
2026-01-10,SaratogaSprings,375,$105,
2026-01-10,SaratogaSprings,65,$113,
2026-01-10,SaratogaSprings,200,$111,
2026-01-10,SaratogaSprings,225,$104,
2026-01-10,SaratogaSprings,285,$102,
2026-01-10,SaratogaSprings,130,$113,
2026-01-10,SaratogaSprings,200,$118,
2026-01-10,SaratogaSprings,300,$110,
2026-01-10,SaratogaSprings,120,$108,
2026-01-10,SaratogaSprings,150,$102,
